review,rating,label,clean_review,label_encoded
"apk yang wajib dan recommended utk dicoba dan berlangganan. Saat masih ragu-ragu kita juga bisa menonton 1 subbab video gratis sebagai uji coba, hal yang saya rasakan selama 2 tahun langganan bagus, saya sangat terbantu dalam pelajaran apalagi mencakup BioFisKim . Walaupun terkadang ada bug yang agak menjengkelkan seperti saat mengakses soal yang ada hitungannya,, gambarnya tidak tersedia. Semoga bisa diperbaiki lagi, device minimum 6 gb++, memory 64 gb and processor helio g85",4,Positif,apk wajib recommended utk dicoba berlangganan raguragu menonton subbab video gratis uji coba rasakan selama tahun langganan bagus sangat terbantu pelajaran mencakup biofiskim walaupun terkadang bug menjengkelkan mengakses soal hitungannya gambarnya tidak tersedia semoga diperbaiki device minimum gb memory gb and processor helio g,2
positif banget buat belajar,5,Positif,positif banget buat belajar,2
wow ini bagus sekali,5,Positif,wow bagus sekali,2
mendukung pembelajaran org dg metode visualisasi,5,Positif,mendukung pembelajaran org dg metode visualisasi,2
"baru sekali pake apk ini, cukup bagus lah cocok untuk sy yg belajar buat ujian",4,Positif,baru sekali pake apk cukup bagus lah cocok sy yg belajar buat ujian,2
10/10 bagus apl nya,5,Positif,bagus apl nya,2
chat salesnya mengganggu.,1,Negatif,chat salesnya mengganggu,0
"fitur2 nya canggih, banyak soal2 yg baru n fresh, ga akan nyesel pake ini. belajar jadi lebih mudah dan praktis😍 kalian tertarik? kuyy cobain sekarang😉",5,Positif,fitur nya canggih banyak soal yg baru n fresh ga nyesel pake belajar jadi lebih mudah praktis kalian tertarik kuyy cobain sekarang,2
bagus yah kalo bjlr diruang guru materinya lebh mudah dipahami dan runtut penjelasannya.,5,Positif,bagus yah kalo bjlr diruang guru materinya lebh mudah dipahami runtut penjelasannya,2
sangat membantu dalam pembelajaran suka sama penjelasan nya juga saya kagum sekali karna setiap ada keluhan saya melihat pihak dari ruang guru selalu memberikan saran🤍,5,Positif,sangat membantu pembelajaran suka sama penjelasan nya kagum sekali karna keluhan melihat pihak ruang guru selalu memberikan saran,2
sangat ramah bahkan gw aja dinelpon Ama kak Erika loh,5,Positif,sangat ramah bahkan gw aja dinelpon ama kak erika loh,2
aplikasi nya bagus banget nilai aku nambah yang awalnya hanya 70—80 sekarang sudah 100 hebat banget deh,5,Positif,aplikasi nya bagus banget nilai aku nambah awalnya sekarang hebat banget deh,2
penyampaian jelas dan sangat berguna. Namun tolong jika ingin menghubungi peserta didik 1 orang saja agar tidak bingung,3,Netral,penyampaian jelas sangat berguna menghubungi peserta didik orang tidak bingung,1
apk nya baguss mudah di pahamii saya juga jadi ngerti pelajaran yang menurut saya susahh pokoknya apk nya baguss dehh buat kalian aku rekomendasi nihh apk makasihh udah buat aku pahamm pelajaran ruangguruu,4,Positif,apk nya baguss mudah pahamii jadi ngerti pelajaran susahh pokoknya apk nya baguss dehh buat kalian aku rekomendasi nihh apk makasihh udah buat aku pahamm pelajaran ruangguruu,2
"tiba-tiba aplikasinya kayak eror gitu, ga bisa ubah nama + kelas. padahal udah update",3,Netral,tibatiba aplikasinya kayak eror gitu ga ubah nama kelas padahal udah update,1
aplikasinya udah bagus menarik dan juga belajar nya lebih seru dan juga ada banyak fitur udah gitu ada avatar nya seru pokoknya udah gitu mt nya baik dan ramah pembahasan nya juga bagus aplikasi nya udah mantap dan sekarang makin bagus udah di evaluasi gak ada kendala rating eror dan udah gak lagi kalo kuis sendiri sendiri atau post test masih ada waktu kekumpul dan tryout juga pembahasan lengkap dan udah gak lemot dan gak ada lagi pas masih ada waktunya ke kumpul,5,Positif,aplikasinya udah bagus menarik belajar nya lebih seru banyak fitur udah gitu avatar nya seru pokoknya udah gitu mt nya baik ramah pembahasan nya bagus aplikasi nya udah mantap sekarang makin bagus udah evaluasi gak kendala rating eror udah gak kalo kuis sendiri sendiri post test waktu kekumpul tryout pembahasan lengkap udah gak lemot gak pas waktunya kumpul,2
"bagus, saya menjadi lebih mengerti.Pokok nya d'best",5,Positif,bagus menjadi lebih mengertipokok nya dbest,2
"Postingan nya bagus nih, bisa di gunakan untuk belajar di kelas",5,Positif,postingan nya bagus nih gunakan belajar kelas,2
bagus sih tapi bayarnya juga lumayan mahal gak ada gratisan,5,Positif,bagus sih bayarnya lumayan mahal gak gratisan,2
aku daftar akun gw namun setelah selesai lah lama loadingnya jadi kesal aku jadi tolong perbaiki ya gw kasih 1 bintang,1,Negatif,aku daftar akun gw selesai lah lama loadingnya jadi kesal aku jadi perbaiki gw kasih bintang,0
pembelajaran nya bagus,5,Positif,pembelajaran nya bagus,2
"menurutku fiturnya udah bagus dan lengkap, saran aja agar dibuat kan tampilan khusus pada tablet, karena pada tablet tidak mendukung landscape.",5,Positif,menurutku fiturnya udah bagus lengkap saran aja dibuat kan tampilan khusus tablet tablet tidak mendukung landscape,2
sekarang rgnya udah lebih baik tapi tolong kembalikan fitur yang bisa liat histori rc kita,3,Netral,sekarang rgnya udah lebih baik kembalikan fitur liat histori rc,1
"pendidikan yang amat padat dan mudah di pelajari usahakan sejak dini hari..semenjak menginjak bersekolahan rame bannyak teman,keputusanku bernilai di matamu....wahai pak guru yang berjasa mulia,,karomah, agung,aku sebagai murid siswa,mengakui semua kesalahanan,biar menjadi kisah ku ok .ok.ok eeehhhhaaammmm",5,Positif,pendidikan padat mudah pelajari usahakan sejak dini harisemenjak menginjak bersekolahan rame bannyak temankeputusanku bernilai matamuwahai pak guru berjasa muliakaromah agungaku murid siswamengakui semua kesalahananbiar menjadi kisah ku okok eeehhhhaaammmm,2
"bagus kaya bimbel mandiri dirumah gitu loh , rekomendet banget 😆😆🤍🤍🩵🩵",5,Positif,bagus kaya bimbel mandiri dirumah gitu loh rekomendet banget,2
"TYMAKASYIII RUANGGURUU, akuu jadi lebih semangat 1000× lipatt buat belajarr:33 AKUU BERLANGGANAN SAMPAAII LULUS HEHEHE >O<",5,Positif,tymakasyiii ruangguruu akuu jadi lebih semangat lipatt buat belajarr akuu berlangganan sampaaii lulus hehehe o,2
the best cara menjelaskannya gk terlau cepat dan cara menyampaikannya kreativ,5,Positif,the best cara menjelaskannya gk terlau cepat cara menyampaikannya kreativ,2
bagus ada dafa dan lulu,5,Positif,bagus dafa lulu,2
nah aku kan gak bayar sama sekali kok malah ditagih padahal aku gak bayar sama sekali,1,Negatif,nah aku kan gak bayar sama sekali kok malah ditagih padahal aku gak bayar sama sekali,0
ini sangat mengganggu karena di spam terus menerus padahal saya sudah uninstal tetapi tetap saja di spam,1,Negatif,sangat mengganggu spam terus menerus padahal uninstal tetap spam,0
seru dan udah ada jawabannya. instal ya😁 ruang guru. ruangnya guru wkwkwk 😂tapi tetep seru😀 seru banget😍,5,Positif,seru udah jawabannya instal ruang guru ruangnya guru wkwkwk tetep seru seru banget,2
"aneh, yang di pelajarin kan pendek, pas di suruh milih malah panjang dan harus di kali di tambah di kurang, padahal pas di pelajarin ga ada kayak gitu",2,Negatif,aneh pelajarin kan pendek pas suruh milih malah panjang kali tambah kurang padahal pas pelajarin ga kayak gitu,0
kenapa kalau nonton video harus berbayar terlebih lagi saya guru punya anak SD dia mau belajar tapi terkunci kalau bisa vidio yang terkunci hanya di khusus pada video anak SMP SMA saja kerena anak SD butuh bimbingan juga mereka masih kecil jadi mereka ingin tau lebih dalam,1,Negatif,kalau nonton video berbayar terlebih guru punya anak sd mau belajar terkunci kalau vidio terkunci khusus video anak smp sma kerena anak sd butuh bimbingan kecil jadi tau lebih,0
"sangat membantu saya saat belajar,dan video"" nya mudah di pahami dan dimengerti",5,Positif,sangat membantu belajardan video nya mudah pahami dimengerti,2
sebenernya aku kesel soal nya aku gak punya wa nomer wa apalagi wa aja gak ada padahal pengen bgt belajar mtk kalian gk ada ide buat yang gak pake wa apa kesel bgt tau 😭😭😭😭😭,1,Negatif,sebenernya aku kesel soal nya aku gak punya wa nomer wa wa aja gak padahal pengen bgt belajar mtk kalian gk ide buat gak pake wa apa kesel bgt tau,0
"aplikasi nya worth it,cocok di buat ulangsn harian,atau kenaikan kelas",5,Positif,aplikasi nya worth itcocok buat ulangsn harianatau kenaikan kelas,2
penjelasan cukup jelas sesuai dengan pelajaran yang ada di sekolah,5,Positif,penjelasan cukup jelas sesuai pelajaran sekolah,2
cocokkk bangett buatt anak yang masihh sekolah untuk bimbingan belajar tambahan,5,Positif,cocokkk bangett buatt anak masihh sekolah bimbingan belajar tambahan,2
kak ini bisa ngk ya buat latian soal,5,Positif,kak ngk buat latian soal,2
aplikasi ruangguru ini bisa membuat kita memahami materi sebelum nya yang sudah saya pelajari disekolah tapi saya belum memahaminya,5,Positif,aplikasi ruangguru membuat memahami materi nya pelajari disekolah belum memahaminya,2
Sangat membantu dalam proses pembelajaran,5,Positif,sangat membantu proses pembelajaran,2
sangat membantu pembelajaran,5,Positif,sangat membantu pembelajaran,2
"auto uninstall app ini😡 krn begitu dibuka langsung di-wa dan di- telp marketing2nya. Dan ga cukup satu orang. ganggu bgt🙄!! padahal di dunia nyata, anak2 sudah les math camp dan sempoa di ruang guru juga.",1,Negatif,auto uninstall app krn dibuka langsung diwa telp marketingnya ga cukup satu orang ganggu bgt padahal dunia nyata anak les math camp sempoa ruang guru,0
ruang guru ini bisa membantu saya dalam belajar untuk mempersiapkan kelulusan. intinya ruangguru the best,5,Positif,ruang guru membantu belajar mempersiapkan kelulusan intinya ruangguru the best,2
"aplikasinya keren,anak jadi semangat belajar dan merasa seru dan pelajaran nya jadi lebih mudah di pahami",5,Positif,aplikasinya kerenanak jadi semangat belajar merasa seru pelajaran nya jadi lebih mudah pahami,2
suka belajar disini berasa lebih fun,5,Positif,suka belajar disini berasa lebih fun,2
Bagus cuma mau nonton video harus premium,3,Netral,bagus cuma mau nonton video premium,1
wow- nabil arsenio,5,Positif,wow nabil arsenio,2
sangat tidak worth it . saya sudah instal ini dari dulu pas saya mau buka buat nonton live ehh Malah Stuck diloading muluu,1,Negatif,sangat tidak worth it instal dulu pas mau buka buat nonton live ehh malah stuck diloading muluu,0
"aplikasi yang sangat berguna untuk membantu mengerjakan pekerjaan sekolah, khususnya matematika ada pembahasan soal jadi mudah untuk dipahami",5,Positif,aplikasi sangat berguna membantu mengerjakan pekerjaan sekolah khususnya matematika pembahasan soal jadi mudah dipahami,2
positif thingking mungkin bisa jadi bagus soal nya aku baru coba,4,Positif,positif thingking mungkin jadi bagus soal nya aku baru coba,2
bagus sekali bisa belajar banyak hal disini 👍🏻,5,Positif,bagus sekali belajar banyak disini,2
aplikasi yang bagus budaya memilih ajaran sesuai yang kita mau dan disini lengkap dan ramah banget kaka yg ngejelasin nya makasih ya ruangguru,5,Positif,aplikasi bagus budaya memilih ajaran sesuai mau disini lengkap ramah banget kaka yg ngejelasin nya makasih ruangguru,2
semoga ruang guru ini bisa membuat ku pintar,5,Positif,semoga ruang guru membuat ku pintar,2
saat bingung mau dekat ujian download ini ajah biar ilmu mu makin kuat untuk melewati ujian,5,Positif,bingung mau dekat ujian download ajah biar ilmu mu makin kuat melewati ujian,2
ini sangat bermanfaat untuk kita belajar,5,Positif,sangat bermanfaat belajar,2
tidak berguna gurunya juga tidak propesional,1,Negatif,tidak berguna gurunya tidak propesional,0
"aplikasi nya keren,baik, dan mengasah kepintaran terimakasih ruang guru🙏🏻",5,Positif,aplikasi nya kerenbaik mengasah kepintaran terimakasih ruang guru,2
ilmu sosial dan perkalian,5,Positif,ilmu sosial perkalian,2
banyak fitur-fitur yang memudahkan saya untuk belajar,5,Positif,banyak fiturfitur memudahkan belajar,2
cara pembelajaran menarik,5,Positif,cara pembelajaran menarik,2
"terlalu berbelit dan ribet, tolong perbaiki lagi ,, serta soal hilang timbul,",1,Negatif,terlalu berbelit ribet perbaiki soal hilang timbul,0
"sebenarnya bagus ya tpi, mahal bgt aku tu termasuk miskin gitu boro boro beli mobil sawit aja gk punya, kukira dulu gratis eh ternyata bayar 💸",4,Positif,sebenarnya bagus tpi mahal bgt aku tu termasuk miskin gitu boro boro beli mobil sawit aja gk punya kukira dulu gratis eh ternyata bayar,2
"aduh, tolong dong Ruang guru jangan ngechat tiap jam sekali dan maksa maksa ambil paketan. Aku yang awalnya excited mau belajar di ruang guru karena dekat dengan rumahku, jadi kesel bgt dan gajadi ambil paketan gara gara konsultan pendidikan ruang guru(*katanya) ngechatin muluuuu setelah aku bilang aku mau ambil paketan coba coba dan aku pikirkan dulu sbntar. eh dia nya ngeburu-buruin bilang ""skarang"" ""nnti diskonnya/promonya habis"" dll.. smpe ngechat aku pake nomor lain. jangan gitu bgt plissss",1,Negatif,aduh dong ruang guru jangan ngechat tiap jam sekali maksa maksa ambil paketan aku awalnya excited mau belajar ruang guru dekat rumahku jadi kesel bgt gajadi ambil paketan gara gara konsultan pendidikan ruang gurukatanya ngechatin muluuuu aku bilang aku mau ambil paketan coba coba aku pikirkan dulu sbntar eh nya ngeburuburuin bilang skarang nnti diskonnyapromonya habis smpe ngechat aku pake nomor jangan gitu bgt plissss,0
udah isi nomer hp malah katanya tidak valid aplikasi tidak becus,1,Negatif,udah isi nomer hp malah katanya tidak valid aplikasi tidak becus,0
Ganggu orang liat sinetron aja iklan sampah,1,Negatif,ganggu orang liat sinetron aja iklan sampah,0
aktivitasnya menyenangkan dan menambah pengetahuan,5,Positif,aktivitasnya menyenangkan menambah pengetahuan,2
wow sangat keren banget!,5,Positif,wow sangat keren banget,2
"aplikasi yang bagus ,bisa bantu belajar anak",5,Positif,aplikasi bagus bantu belajar anak,2
saya sangat senang bisa dapat belajar dari ruang guru tanpa bingung bagaimana mengerjakan tugas-tugas tersebut 😊☺️😊☺️,5,Positif,sangat senang belajar ruang guru bingung bagaimana mengerjakan tugastugas tersebut,2
"wee ini apk knp ngebug terus wee 😭 tolong perbaiki, suka greget banget rasanya, mau belajar padahal",4,Positif,wee apk knp ngebug terus wee perbaiki suka greget banget rasanya mau belajar padahal,2
jadi fokus deh!,5,Positif,jadi fokus deh,2
"jujur sebenarnya ruangguru itu bagus baget, tapi aku sering kali kesusahan cari materi karena kurikulum. sekarang pakai aku pakai kurikulum merdeka, aku search materi nya itu ada beberapa yang gk ada, dan harus ganti ke K13/K13 revisi, jadinya agak ribet. dan biasanya pilihan materi di K13/K13 revisi itu lebih banyak.",3,Netral,jujur sebenarnya ruangguru bagus baget aku sering kali kesusahan cari materi kurikulum sekarang pakai aku pakai kurikulum merdeka aku search materi nya beberapa gk ganti kk revisi jadinya ribet biasanya pilihan materi kk revisi lebih banyak,1
semoga nilai mtk ku yang jelek itu menjadi bagus😞,5,Positif,semoga nilai mtk ku jelek menjadi bagus,2
allhamdulilah sejak pake ruang guru belajar jadi gampang,5,Positif,allhamdulilah sejak pake ruang guru belajar jadi gampang,2
"mantap banget, aku syukaa🥰",5,Positif,mantap banget aku syukaa,2
aplikasi ruang guru membantu saya untuk mengulang 2 pelajaran saya dari kls 1 hingga kls 7 ini.,5,Positif,aplikasi ruang guru membantu mengulang pelajaran kls hingga kls,2
bagus aplikasi nya bisa buat belajar & bimbel online☺️,5,Positif,bagus aplikasi nya buat belajar bimbel online,2
"mantapppp,bikinn otakk kuuu mulaii aktiff lagii,kecanduann 😚",5,Positif,mantappppbikinn otakk kuuu mulaii aktiff lagiikecanduann,2
"haiii ruangguru! aku ke sini lagi mau ngucapin terimakasih atas bantuannya, ya selama ini! MAKASIHH UDAH NEMENIN AKU BERJUANG DI FASE NGEJAR PTN, NEMENIN PERJUANGAN AKU DAPETIN KAMPUS KUNING ITUUU. doain ya, tgl 25 mei besok aku dapet ucapan selamat! 🤗💙 Sehat sehat etmin ruangguru dan semuanyahhh 💙",5,Positif,haiii ruangguru aku sini mau ngucapin terimakasih atas bantuannya selama makasihh udah nemenin aku berjuang fase ngejar ptn nemenin perjuangan aku dapetin kampus kuning ituuu doain tgl mei besok aku dapet ucapan selamat sehat sehat etmin ruangguru semuanyahhh,2
bagus banget nilai aku juga naik gara gara ruangguru terimakasih yaa ruangguru semoga makin sukses😉,5,Positif,bagus banget nilai aku naik gara gara ruangguru terimakasih yaa ruangguru semoga makin sukses,2
this is a best aplication for preparing snbt,5,Positif,this is a best aplication for preparing snbt,2
"Tidak jelas, saya lupa sandi, saat saya ingin merubah sandi saya selalu muncul ada kesalahan pada sistem, saya sudah menunggu selama 2 hari masih saja error.",1,Negatif,tidak jelas lupa sandi merubah sandi selalu muncul kesalahan sistem menunggu selama hari error,0
karna aku les di ruang guru❤️❤️❤️,5,Positif,karna aku les ruang guru,2
"Hai aku pengguna baru apk ruang guru,aku butuh untuk UM ( ujian madrasah ) soalnya aku kalau belajar tu sebenarnya niat cmn otakku yang sulit memahami yang di pahami juga kadang dikit sisanya zonk semua,aku berharap dengan memberi Bintang lima dan mendowload aplikasi ini bisa membantuku belajar lebih efektif dan efisien,terima kasih ❤️",5,Positif,hai aku pengguna baru apk ruang guruaku butuh um ujian madrasah soalnya aku kalau belajar tu sebenarnya niat cmn otakku sulit memahami pahami kadang dikit sisanya zonk semuaaku berharap memberi bintang lima mendowload aplikasi membantuku belajar lebih efektif efisienterima kasih,2
"aplikasi jelek, sering lag parahh materinya bagus cmn ya gitu kuis interaktif sulit diakses gr2 apknya jd putih",1,Negatif,aplikasi jelek sering lag parahh materinya bagus cmn gitu kuis interaktif sulit diakses gr apknya jd putih,0
"Bagus aplikasi, rekonstruksi lengkap semua untuk belajar dari SD - Perguruan Tinggi. Semangat semua kakak - kakaknya, izin pakai juga ambil video untuk tugas ya🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻👍🏻",5,Positif,bagus aplikasi rekonstruksi lengkap semua belajar sd perguruan tinggi semangat semua kakak kakaknya izin pakai ambil video tugas,2
tolong tambahin materi belajar untuk um ugm,1,Negatif,tambahin materi belajar um ugm,0
lumayan bisa belajar dengan baik,5,Positif,lumayan belajar baik,2
sangat bagus dan cocok untuk sy belajar lebih dalam lagi 💐💐💐💐💐💐,5,Positif,sangat bagus cocok sy belajar lebih,2
"LOV BANGET DEH SAMAAAA RG, LINGKUNGANNYA ENAK BANGET BUAT BELAJAR 🩷💘❤️♥️",5,Positif,lov banget deh samaaaa rg lingkungannya enak banget buat belajar,2
"video pembelajaran ruang guru membantu dalam memahami materi , ada drill , kuis, dan rangkuman materi.",4,Positif,video pembelajaran ruang guru membantu memahami materi drill kuis rangkuman materi,2
saya merasa terbantu dengan adanya ruang guru,5,Positif,merasa terbantu adanya ruang guru,2
"aplikasi ini best banget, aku suka banget karna belajar nya pake video 😍 , cuma ada beberapa pelajaran yang gak ada di aplikasi ini 😔 kayak ppkn, dll, tapi lumayan bagus buat belajar👍 pokoknya the beast banget ☺👏👍💖 yang kesulitan belajar wajib download ini ❤ aku suka sama cara belajar nya, ada kuis jadi lengkap banget ☺ makasih ya, belajar jadi lebih menyenangkan ❤😊 tapi sayang banget 😔 harus langganan buat nonton video lengkap nya jadi cuma bisa nonton yang gratis 🥲 karna gak dapet iji",5,Positif,aplikasi best banget aku suka banget karna belajar nya pake video cuma beberapa pelajaran gak aplikasi kayak ppkn lumayan bagus buat belajar pokoknya the beast banget kesulitan belajar wajib download aku suka sama cara belajar nya kuis jadi lengkap banget makasih belajar jadi lebih menyenangkan sayang banget langganan buat nonton video lengkap nya jadi cuma nonton gratis karna gak dapet iji,2
"Ruangguru knpsih kuisnya di ruangbelajar selalu ngeglitch? jd susah mw ngejawab soal, krn pada ngelag glitch gt. Abis itu jg kl misal kita ada misi ngerjain satu kuis buat buka peti dr pet kita, abis aku kerjain malah ga nambah progressnya, harus nyelesain banyak kuis dl br bisa unlock isi petinya. Trs kadang jg tiap aku ikut sesi BAO gabisa kepencet pollingnya padahal udah aku klik, jd kadang aku ga dapet panen bintang padahal jawabanky bener. Tolong diperbaiki ya ruangguru 🙏🙏🙏",2,Negatif,ruangguru knpsih kuisnya ruangbelajar selalu ngeglitch jd susah mw ngejawab soal krn ngelag glitch gt abis jg kl misal misi ngerjain satu kuis buat buka peti dr pet abis aku kerjain malah ga nambah progressnya nyelesain banyak kuis dl br unlock isi petinya trs kadang jg tiap aku ikut sesi bao gabisa kepencet pollingnya padahal udah aku klik jd kadang aku ga dapet panen bintang padahal jawabanky bener diperbaiki ruangguru,0
"just one sentence ""Ruangguru is the best application for everyone""",5,Positif,just one sentence ruangguru is the best application for everyone,2
selalu nemenin untuk utbk !,5,Positif,selalu nemenin utbk,2
aplikasinya sangat membantu sekali,5,Positif,aplikasinya sangat membantu sekali,2
bagus & bikin anak mudah belajar👍,5,Positif,bagus bikin anak mudah belajar,2
ruang guru sangat bagus untuk belajar saya menggunakan aplikasi ini prestasi saya menjadi semakin meningkat,5,Positif,ruang guru sangat bagus belajar menggunakan aplikasi prestasi menjadi semakin meningkat,2
lumayan bagus pet ny juga lucu,5,Positif,lumayan bagus pet ny lucu,2
Semoga bisa membantu Pemahaman Saya utk belajar. Terimakasih,5,Positif,semoga membantu pemahaman utk belajar terimakasih,2
terimakasih ruang guru saya bisa memahami pelajaran yang saat tidak mengerti di sekolah walaupun saya saya tidak punya uang untuk les tambahan tapi ada masa percobaan gratis☺️🙏,5,Positif,terimakasih ruang guru memahami pelajaran tidak mengerti sekolah walaupun tidak punya uang les tambahan masa percobaan gratis,2
"buat yang bagian utbk-mandiri, tambahin UM UGM dong🥹🥹 jangan SIMAK doang🙏🏻🙏🏻😞😞 butuh bangett bingung mau belajar darimana",5,Positif,buat bagian utbkmandiri tambahin um ugm dong jangan simak doang butuh bangett bingung mau belajar darimana,2
"recommended banget! aplikasinya ada games seru plus kuis belajar lengkap, kalau ada jawaban yang salah dikasih penjelasan, cocok banget buat yang tka (:",5,Positif,recommended banget aplikasinya games seru plus kuis belajar lengkap kalau jawaban salah dikasih penjelasan cocok banget buat tka,2
aplikasi ini sangat membantu untuk belajar,5,Positif,aplikasi sangat membantu belajar,2
"ok bug nya sudah teratasi, jadi terimakasih. tapi masalah nya muncul lagi, yaitu apk nya sering keluar sendiri, padahal hp ku ini ram nya udah lebih dari cukup dan prosesor nya juga dah masuk di kelas menengah kok 😐",3,Netral,bug nya teratasi jadi terimakasih masalah nya muncul apk nya sering keluar sendiri padahal hp ku ram nya udah lebih cukup prosesor nya dah masuk kelas menengah kok,1
"aplikasinya bagus, tp sering eror. tolong diperbaiki. mau ngerjain quiz sama post test gitu gitu gbs eror loading trs",3,Netral,aplikasinya bagus tp sering eror diperbaiki mau ngerjain quiz sama post test gitu gitu gbs eror loading trs,1
aplikasi banyak bug,1,Negatif,aplikasi banyak bug,0
sangat membantu dalam belajar saya,5,Positif,sangat membantu belajar,2
"aplikasinya bagus, tapi, tidak tersedia aplikasi bagi pengguna windows.",5,Positif,aplikasinya bagus tidak tersedia aplikasi pengguna windows,2
"Saat pakai fitur drill, soal yang berbentuk tabel sering tidak muncul atau sering terpotong dan tidak lengkap di tampilan hp, mungkin kalau di tampilan laptop terlihat, tapi di hp tidak terlihat tabel soalnya, jadi tidak bisa mengerjakan. Minta tolong ya",5,Positif,pakai fitur drill soal berbentuk tabel sering tidak muncul sering terpotong tidak lengkap tampilan hp mungkin kalau tampilan laptop terlihat hp tidak terlihat tabel soalnya jadi tidak mengerjakan minta,2
"Makin sering ngelag dan bug, padahal jaringan aman, perangkat aman, cache udh diclear, tetep aja keluar sendiri",2,Negatif,makin sering ngelag bug padahal jaringan aman perangkat aman cache udh diclear tetep aja keluar sendiri,0
sangat bagus untuk pembelajaran,5,Positif,sangat bagus pembelajaran,2
"ini app seruuu bgt ,guru""ya juga asik""🤍",5,Positif,app seruuu bgt guruya asik,2
CS nya bagus hehe🤭🤭💋💋,5,Positif,cs nya bagus hehe,2
lebih efektif untuk belajar,5,Positif,lebih efektif belajar,2
alhamdulillah akhirnya bisa belajr dirumah,5,Positif,alhamdulillah akhirnya belajr dirumah,2
bagus banget cocok untuk belajar menambah ilmu,5,Positif,bagus banget cocok belajar menambah ilmu,2
aku perpanjang sampe 2× sangking sukanya🥹👏🏻,5,Positif,aku perpanjang sampe sangking sukanya,2
aplikasi yang sangat membantu buat belajar sendiri,5,Positif,aplikasi sangat membantu buat belajar sendiri,2
