review,rating
Mohon optimasi tampilan landscape untuk tablet Android karena belum full layar.,3
"bener bener ga worth it sih,apk nya ngelag bgt disuruh quiz malah keluar masuk,terus aku juga beli paket rg yg untuk offline gurunya ya...😌😌",1
memuaskan,5
karena mengasah otak dan pikiran,5
aku jadi banyak menigkat saat belajar di ruang guru. dari rangking 18 jadinya rangking 5.,5
aplikasi ini membuat saya lebih pintar,5
seru bgt,5
Sangat membantu 🙇🏻‍♀️,5
aplikasi Ter bagus untuk belajar,5
pelajaran matematika bimbing kita iya gys,5
bagus untuk belajar tka,5
ini sangat kerenn,5
ya bagus tapi plis pas poling jika salpen harusnya ada tombol apakah jawaban anda tepat gitu bukan poling langsung salpen,3
ruang guru sangat lah keren,4
aplikasinya gabisa dibuka.,1
"aku suka banget sama apk bimbel ini, pembelajarannya mudah dimengerti+ada quiz dan rangkuman juga, seneng deh berlangganan ruang belajar, tpi tolong ya diperbaiki di bug gambar yg sering ga muncul, cuma kek putih2 gitu, terimakasih ❤️",5
Membantu Dan keren,5
aplikasi ini sangat berguna menurut saya karena kita bisa belajar materi yang kita inginkan.,5
"ini knp sih, di aplikasi tiap mau drill soal pasti ada pembaharuan, sehari bisa 4 kali. trs kadang agak error waktu mau scroll soal kebawah. mana klo udh g langganan di chat pihak rg terus. pdhl udh ngasih nmr dan email yg nggk mau dihubungi lg tp ttp dihubungi.",4
aplikasi ini sangat membantu,5
"kak ini gmna ya kan aku persiapan UTBK, tapi kok gda tryout nya? udh beli paket tryout yg 10 kuota, tpi bnrn gda pilihan tryout nya, jngn bikin bingung pls:( ini urgent",3
saya menggunakan ruang guru menjadi lebih mudah dalam belajar 😻😻,5
Aplikasi ini sangat membantu saya untuk mempelajari pelajaran yg saya sudah lupa. Serta untuk menambah ilmu baru buat kedepannya.,5
lumayan,4
kualitas gambar bagus,5
"overall aplikasi yang bagus hanya saja belum full bintang 5 karna jawaban2 yang menggunakan gambar selalu tidak muncul, mengakibatkan saya untuk menebak nebak yang mana jawaban yang benar, dan sudah dicoba beberapa upaya seperti hapus chace, hapus app dan login kembali dll, mohon diperbaiki minn",4
Sangat membantu dalam proses pembelajaran di rumah,5
banyakin materi sama latsol,5
"Suka bgt, belajar jadi seru 👍👍",5
bagus aku padahal gak pinter amat tapi semenjak pakai ruangguru nilaiku naik aku masuk SMP impian ku good job ruang guru🌟😻,5
ya sangat bagus,5
Bagus nilai saya jadi nambah dan jadi juara satu di kelas,5
aku coba dulu ya soal aku ragu aku ngak bisa bahasa Inggris🇬🇧,5
gila banget bagus banget ini luar biasa bagus,5
"aplikasi nya memang bagus, pembelajaran mudah di pahami dan di mengerti, tapi banyak yang harus langanan, udah mah langanan nya mahal lagi..😭",4
Sangat bagus buat saya makasih ya udah bantuin saya belajar,5
Kenapa sekarang suka bgt gabisa di pencet menu nya alias ERROR! Jadi ngerasa kesel udah bayar mahal tapi fitur bobrok. Kadang kalo chat di whatsapp juga slow respon. Tolong diperbaiki.,3
mantp,5
saya bisa memahami dan saya senang belajar di ruang guru pengetahuan semakin tinghhi.,5
seru banget jadi semangat belajar dan materinya mudah dipahami,5
"beli paket 1tahun ga kepakek, gaenak sistem belajar nya menurut saya",2
"Bagus aplikasi nya, saya berharap akan ada paket untuk mendapatkan rangkuman materi secara singkat dan beberapa soal dengan harga yang bersahabat dengan pelajar.",5
I LOVEEE,5
bagus aplikasinya tidak cacat,5
aplikasinya sangat berguna,5
Alhamdulillah,5
berapa langganan di sini,4
ruang guru sangat baik penunjang belajar anak saya tapi untuk THN ini lupa belum saya perpanjang langganan jadiny buka soal TKa susah,5
bagusa membantu buat belajar,5
bagus bangettt,5
"stop update apk. Update hampir bbrpa kali seminggu sistem nya sama aja, masi suka lag, kadang bug sendiri kalo apk terlalu lama di buka. Tolong kalau mau update jgn yg terlalu sering, krna mengganggu penggunaan aplikasi, sebab kalo dia mau update gbsa di skip, dan jadi harus buka ulang aplikasi, di tambah lagi kalo buka aplikasinya di android harus ngulang sampai bbrpa kali baru aplikasi bisa terbuka. tolong para IT ruangguru, perbaiki sistem nyaa!",3
saya bisa belajar dengan baikk,5
berguna banget untuk belajar bagus banget,5
Ruang guru sangat cocok untuk di pakai belajar≧⁠▽⁠≦,5
BAGUSSSS MEMBANTU KEREN,5
Mohon diperbarui ya saya memakai aplikasi ini eh tiba tiba keluar,1
bagus sih tapi kalo mau masuk ke aplikasinya pasti harus uninstal dulu padahal koneksi aku bagus lancar jadi waktu less ke ruang guru waktu disuruh buka aplikasinya harus uninstal dulu,5
BAGUS BNGET,5
seruuu trs gampang di pahami juga makasi ruang guruu aku jadi bisa nii belajar biar ranking 1 di sekolahh,5
kurang memuaskan,1
𝐚𝐩𝐤 𝐢𝐧𝐢 𝐬𝐚𝐧𝐠𝐚𝐭 𝐛𝐚𝐠𝐮𝐬𝐞,5
mantab,5
gampang di pahami,5
bagus banget aku bisa belajar di sini 🤩🤩,5
bismillahirrahmanirrahim dg ini gw bisa pinter,5
👍,5
bagussss untuk belajar semua,5
bagus tapi berbayar,4
"Suka banget, penjelasan mudah dimengerti dan ada quiz setelah menonton video. Ada juga latihan soal harian disemua mapel bahkan TKA. I love you ruang guru🫶🏻🫶🏻",5
"Ini kurang bagus, karena saya pernah mendownload apk ini, tetapi hanya beberapa yang bisa dipakai, tetapi saya uninstall lalu install lagi karna HP saya ngelag, saya ingin daftar tetapi harus no telp, gimana saya daftar, orang saya tidak ada whatsapp, (jadi itu saja pendapat saya, jika ada yang tersinggung dengan penjelasan saya, saya minta maaf sebesar besar nya.)",1
"Baik, Master Teachernya juga ramah-ramah.",5
bantu bgt ningkatin nilai ujian aku bahkan samapai orang² ngira aku nyontek soalnya nilai ph aku jauhh naik drastis,5
"ada beberapa vidio pembelajaran yang membingungkan atau keliru, tapi gak yang parah, overall bagus",4
"Sangat membantu untuk mengerjakan tugas sekolah dan memahami materi sekolah lebih dalam, konsep materi juga dijelaskan jadi untuk saya yang lama ngertinya bisa langsung paham. Kekurangannya masih suka banyak error saat live teaching",5
"Meskipun gak berlangganan, fitur nya sudah cukup memuaskan 🙏🙏",5
sangat membantu🤩🤍,5
menarik,5
aplikasi ini sangat penting dalam kehidupan sehari-hari saya dan sangat berguna sekali,5
nice,5
bagus CMN suka tiba tiba gini ruang guru tidak menanggapi gitu jdi suka MLs,4
"ruang guru itu bagus banget ngebantu banget aku pake ruang guru dari semenjak kelas 1 -3 SMA wkwkwk sudah berlangganan di ruang guru seharusnya mah aku berlangganan dari kecil (TK-SMA), seharusnya sih begitu sekarang aku nyesel banget baru daftar pas SMA, sekarang kuliah masih pake pokok ruang gurunya mantul banget ya seharusnya juga aku pake pas awal² pas masih semester pertama his nyesel²di akhir itu ternyata ga enak ya wkwkwk kaya aku gini ya wkwkwk.",5
bagus sekali,5
WOW..!!! ada aplikasi ruang guru ada mata pelajar juga dan tka nya,5
aplikasi ya bagus banget kurang ya gak bisa di buat main,5
perfect,5
aplikasi nya jelek keluar sendiri pas mau milih kelas tolong ini kenapa padahal aku ingin mencoba nya jadi tolong sekali lagi dibenerin 😭😭,1
"aplikasi ini sangat bagus sampe ngelekk padahal jaringan lancar, sampe kaka nya yg ngajar pun bingung kenapa suka kaya begitu terus suka eror",1
aplikasi ini sangat bagus banget kak tap tolong tambahin fitur tema gelap kak supaya lebih nyaman gitu,5
bgus,5
"saya harap ada update untuk penambahan fitur subtitle, juga update konten untuk pembelajaran baru, dan lebih berharap bakal ada bidang spesifik kaya kuliah per jurusan mau di video belajar ataupun brain academy , atau bahkan ada mentor yang mendalamin per jurusan, sumpah si ke gitu.",5
gamenya bagus untuk belajar 😍,5
"bagus tapi masih ada bugnya terutama di web untuk pc contohnya, saat saya sudah selesai mengerjakan salah satu subtes UTBK lalu tekan kembali, semua jawaban saya hilang dan nilai saya jadi 0, tolong cepat diperbaiki min karena 30 hari lagi saya utbk😓",3
"aplikasi nya sangat berguna sekali untuk pelajar, dulu aku susah banget mau juara tapi sekarang Alhamdulillah udah bisa juara umum cerdas cermat berkat aplikasi ruangguru",5
ini sangat bagus,5
bagus banget buat belanja di rumah cocok buat les sekola ❤️,5
KERENNNNNN MANTAPPPPPP AKU JADI PAHAM SEMUA MATERI,5
bagus buat belajar,5
Bagus sekali,3
sebenrnya bagus cuma ada bug saya sudah belajar sangat lama tapi masi saja pet nya tidak naik naik,4
bagus aja,5
"sangat bagus dan saya juga bisa belajar, saat saya instal dan masuk sudah sangat bagus dan bisa belajar offline,",5
bagus utk kecerdasan anak,5
mantap banget,5
apik poll pokoke,5
Bagus belajar jadi lebih lancar & bisa cepat cerdas & pintar,5
👍🏻,5
keren aplikasi ruang guru ini sangat membantu saya untuk mengerjakan soal-soal utbk snbt terimakasih ruang guru,5
saya harap bisa juara hehhe,5
"kadang tb"" ke logout sendiri",4
memang melatih otak ruangguru is the beast,5
Seangat bagus,5
sangat membantu,5
"plis kecewa banget sama ni aplikasi tlg dong jangan tlp² atau ngechat segala ke no wa gw apalagi ke keluarga gw, gasuka sm aplikasinya gw g suka make mlh diteror disuruh byr plis g ush tlp apalgi ngechat di wa lagi",1
"Aplikasi Ruangguru sering lemot dan sering buffering serta sempat ada bug walaupun jaringan internetnya lancar dan memori aman, jadi cukup bikin belajar jadi kurang nyaman. Mohon segera diperbaiki.",3
jadi langganan olimpiade deh😋😋,5
aku baru inggin mencoba semoga dengan ini saya jadi lebih paham dengan biologi dan menjadi lebih semangat untuk belajar,5
bagus banget nilaiku semangkin bertambah,5
Sangat bagus untuk dibelajar sendiri di rumah,5
"bagus pokoknya, bisa belajar sekaligus ngerjain kuis",5
sangat berguna,5
"ga bisa di buka, pdhl kuota ada, jaringan baik",1
karena sering waktu belajar sering keluar sendiri jadi mengganggu banget untuk belajar nggak recommended,1
bagus banget tapi ada yang berbayar,5
"sayaa ga langganan cuma instal karna kepo ajaa udah di hps jugaa masih ajaa di cht"" in udah saya blok malah telepon di no biasa ganggu ajaa selalu si cht si telepon gimanaa sih ini jelek bgtt",1
sangat membantu. terimakasih,5
asik - pembaruan terus,4
